성별(1),연령별(1),총계,진입자,유지자,이동자,미등록자
총계,총계,"24,832","3,967","17,191","3,674","3,493"
,15-29세,"3,888","1,246","1,846",796,931
,30-39세,"5,100",671,"3,707",722,531
,40-49세,"5,853",636,"4,455",763,540
,50-59세,"5,693",660,"4,252",781,660
,60세 이상,"4,298",754,"2,931",612,831
남자,총계,"14,180","1,976","10,022","2,182","1,764"
,15-29세,"1,999",675,918,406,486
,30-39세,"3,037",349,"2,223",465,259
,40-49세,"3,413",282,"2,673",458,255
,50-59세,"3,258",303,"2,486",470,325
,60세 이상,"2,473",368,"1,723",382,439
여자,총계,"10,652","1,991","7,169","1,492","1,730"
,15-29세,"1,890",572,929,389,445
,30-39세,"2,063",322,"1,484",256,273
,40-49세,"2,440",353,"1,782",304,285
,50-59세,"2,435",357,"1,766",312,335
,60세 이상,"1,825",387,"1,208",230,392
